"STATION","DATE","DLY-PRCP-25PCTL","DLY-PRCP-50PCTL","DLY-PRCP-75PCTL","DLY-PRCP-PCTALL-GE001HI","DLY-PRCP-PCTALL-GE010HI","DLY-PRCP-PCTALL-GE050HI","DLY-PRCP-PCTALL-GE100HI","DLY-SNOW-25PCTL","DLY-SNOW-50PCTL","DLY-SNOW-75PCTL","DLY-SNOW-PCTALL-GE001TI","DLY-SNOW-PCTALL-GE010TI","DLY-SNOW-PCTALL-GE030TI","DLY-SNOW-PCTALL-GE050TI","DLY-SNOW-PCTALL-GE100TI","DLY-SNWD-25PCTL","DLY-SNWD-50PCTL","DLY-SNWD-75PCTL","DLY-SNWD-PCTALL-GE001WI","DLY-SNWD-PCTALL-GE003WI","DLY-SNWD-PCTALL-GE005WI","DLY-SNWD-PCTALL-GE010WI","MTD-PRCP-NORMAL","MTD-SNOW-NORMAL","YTD-PRCP-NORMAL","YTD-SNOW-NORMAL"
"USC00135650","01-01","0.04","0.11","0.24","20.5","110","15","-5555","0.8","1.5","2.9","124","90","36","11","0","3","5","10","485","373","250","126","0.04","0.2","0.04","0.2"
"USC00135650","01-02","0.04","0.11","0.25","20.3","109","15","-5555","0.8","1.5","3.0","124","90","36","11","0","3","5","10","488","374","251","126","0.08","0.5","0.08","0.5"
"USC00135650","01-03","0.04","0.11","0.25","20.2","108","14","-5555","0.8","1.5","3.0","123","90","36","11","0","3","5","10","491","375","252","126","0.12","0.7","0.12","0.7"
"USC00135650","01-04","0.04","0.11","0.25","20.0","107","14","-5555","0.8","1.5","3.0","122","89","36","11","0","3","5","10","494","377","254","126","0.16","0.9","0.16","0.9"
"USC00135650","01-05","0.04","0.10","0.24","19.9","105","13","-5555","0.8","1.5","3.0","122","88","36","10","0","3","5","10","497","378","255","125","0.19","1.1","0.19","1.1"
"USC00135650","01-06","0.04","0.10","0.24","19.8","104","13","-5555","0.7","1.4","3.0","121","88","36","10","0","3","5","10","500","379","256","124","0.22","1.4","0.22","1.4"
"USC00135650","01-07","0.03","0.10","0.24","19.6","103","12","-5555","0.7","1.4","3.0","121","87","35","10","0","3","5","10","503","381","257","123","0.25","1.6","0.25","1.6"
"USC00135650","01-08","0.03","0.10","0.24","19.5","101","12","-5555","0.7","1.4","2.9","120","87","35","9","0","3","5","9","507","383","258","122","0.28","1.8","0.28","1.8"
"USC00135650","01-09","0.03","0.10","0.24","19.4","100","11","-5555","0.7","1.4","2.9","120","87","35","9","0","3","5","9","511","384","259","120","0.31","2.1","0.31","2.1"
"USC00135650","01-10","0.03","0.10","0.23","19.4","100","11","-5555","0.7","1.4","2.9","121","87","35","9","0","3","5","9","515","386","260","119","0.34","2.3","0.34","2.3"
"USC00135650","01-11","0.03","0.10","0.23","19.3","99","11","-5555","0.7","1.4","2.9","121","87","35","8","1","3","5","9","520","389","261","117","0.37","2.5","0.37","2.5"
"USC00135650","01-12","0.03","0.10","0.23","19.1","98","11","-5555","0.7","1.3","2.9","120","86","35","8","1","3","5","9","525","392","262","115","0.40","2.7","0.40","2.7"
"USC00135650","01-13","0.03","0.10","0.23","19.1","97","10","-5555","0.7","1.3","2.9","120","86","34","8","1","3","5","9","531","394","263","114","0.43","3.0","0.43","3.0"
