"STATION","DATE","DLY-PRCP-25PCTL","DLY-PRCP-50PCTL","DLY-PRCP-75PCTL","DLY-PRCP-PCTALL-GE001HI","DLY-PRCP-PCTALL-GE010HI","DLY-PRCP-PCTALL-GE050HI","DLY-PRCP-PCTALL-GE100HI","DLY-SNOW-25PCTL","DLY-SNOW-50PCTL","DLY-SNOW-75PCTL","DLY-SNOW-PCTALL-GE001TI","DLY-SNOW-PCTALL-GE010TI","DLY-SNOW-PCTALL-GE030TI","DLY-SNOW-PCTALL-GE050TI","DLY-SNOW-PCTALL-GE100TI","DLY-SNWD-25PCTL","DLY-SNWD-50PCTL","DLY-SNWD-75PCTL","DLY-SNWD-PCTALL-GE001WI","DLY-SNWD-PCTALL-GE003WI","DLY-SNWD-PCTALL-GE005WI","DLY-SNWD-PCTALL-GE010WI","MTD-PRCP-NORMAL","MTD-SNOW-NORMAL","YTD-PRCP-NORMAL","YTD-SNOW-NORMAL"
"USC00412950","01-01",,,,,,,,,,,,,,,,,,,,,,,"0.02",,"0.02",
"USC00412950","01-02",,,,,,,,,,,,,,,,,,,,,,,"0.05",,"0.05",
"USC00412950","01-03",,,,,,,,,,,,,,,,,,,,,,,"0.08",,"0.08",
"USC00412950","01-04",,,,,,,,,,,,,,,,,,,,,,,"0.10",,"0.10",
"USC00412950","01-05",,,,,,,,,,,,,,,,,,,,,,,"0.13",,"0.13",
"USC00412950","01-06",,,,,,,,,,,,,,,,,,,,,,,"0.17",,"0.17",
"USC00412950","01-07",,,,,,,,,,,,,,,,,,,,,,,"0.19",,"0.19",
"USC00412950","01-08",,,,,,,,,,,,,,,,,,,,,,,"0.22",,"0.22",
"USC00412950","01-09",,,,,,,,,,,,,,,,,,,,,,,"0.24",,"0.24",
"USC00412950","01-10",,,,,,,,,,,,,,,,,,,,,,,"0.27",,"0.27",
"USC00412950","01-11",,,,,,,,,,,,,,,,,,,,,,,"0.31",,"0.31",
"USC00412950","01-12",,,,,,,,,,,,,,,,,,,,,,,"0.35",,"0.35",
"USC00412950","01-13",,,,,,,,,,,,,,,,,,,,,,,"0.39",,"0.39",
"USC00412950","01-14",,,,,,,,,,,,,,,,,,,,,,,"0.43",,"0.43",
"USC00412950","01-15",,,,,,,,,,,,,,,,,,,,,,,"0.47",,"0.47",
"USC00412950","01-16",,,,,,,,,,,,,,,,,,,,,,,"0.50",,"0.50",
"USC00412950","01-17",,,,,,,,,,,,,,,,,,,,,,,"0.54",,"0.54",
"USC00412950","01-18",,,,,,,,,,,,,,,,,,,,,,,"0.58",,"0.58",
"USC00412950","01-19",,,,,,,,,,,,,,,,,,,,,,,"0.62",,"0.62",
"USC00412950","01-20",,,,,,,,,,,,,,,,,,,,,,,"0.66",,"0.66",
"USC00412950","01-21",,,,,,,,,,,,,,,,,,,,,,,"0.70",,"0.70",
"USC00412950","01-22",,,,,,,,,,,,,,,,,,,,,,,"0.74",,"0.74",
"USC00412950","01-23",,,,,,,,,,,,,,,,,,,,,,,"0.77",,"0.77",
"USC00412950","01-24",,,,,,,,,,,,,,,,,,,,,,,"0.81",,"0.81",
"USC00412950","01-25",,,,,,,,,,,,,,,,,,,,,,,"0.85",,"0.85",
"USC00412950","01-26",,,,,,,,,,,,,,,,,,,,,,,"0.89",,"0.89",
"USC00412950","01-27",,,,,,,,,,,,,,,,,,,,,,,"0.93",,"0.93",
"USC00412950","01-28",,,,,,,,,,,,,,,,,,,,,,,"0.97",,"0.97",
"USC00412950","01-29",,,,,,,,,,,,,,,,,,,,,,,"1.01",,"1.01",
"USC00412950","01-30",,,,,,,,,,,,,,,,,,,,,,,"1.05",,"1.05",
"USC00412950","01-31",,,,,,,,,,,,,,,,,,,,,,,"1.09",,"1.09",
"USW00003951","01-01","0.06","0.21","0.65","28.2","196","92","44","-6666","-6666","-6666","6","5","2","1","0","-6666","-6666","-6666","10","-5555","-5555","0","0.11","0.0","0.11","0.0"
"USW00003951","01-02","0.06","0.21","0.65","28.1","195","91","44","-6666","-6666","-6666","6","5","2","1","0","-6666","-6666","-6666","10","-5555","-5555","0","0.22","0.0","0.22","0.0"
"USW00003951","01-03","0.06","0.21","0.65","28.0","194","90","43","-6666","-6666","-6666","6","5","2","1","0","-6666","-6666","-6666","11","-5555","-5555","0","0.33","0.0","0.33","0.0"
"USW00003951","01-04","0.06","0.21","0.64","27.9","193","90","43","-6666","-6666","-6666","7","5","2","1","0","-6666","-6666","-6666","11","-5555","-5555","0","0.46","0.0","0.46","0.0"
"USW00003951","01-05","0.06","0.21","0.64","27.8","192","89","42","-6666","-6666","-6666","7","6","2","1","0","-6666","-6666","-6666","11","-5555","-5555","0","0.58","0.0","0.58","0.0"
"USW00003951","01-06","0.06","0.22","0.63","27.8","192","88","42","-6666","-6666","-6666","7","6","2","1","0","-6666","-6666","-6666","12","-5555","-5555","0","0.70","0.0","0.70","0.0"
"USW00003951","01-07","0.06","0.22","0.63","27.7","191","88","42","-6666","-6666","-6666","7","6","2","1","0","-6666","-6666","-6666","12","-5555","-5555","0","0.82","0.0","0.82","0.0"
"USW00003951","01-08","0.06","0.22","0.63","27.6","191","87","42","-6666","-6666","-6666","7","6","3","1","0","-6666","-6666","-6666","12","-5555","-5555","0","0.93","0.0","0.93","0.0"
"USW00003951","01-09","0.06","0.22","0.62","27.6","190","87","42","-6666","-6666","-6666","8","6","3","1","0","-6666","-6666","-6666","13","-5555","-5555","0","1.05","0.0","1.05","0.0"
"USW00003951","01-10","0.07","0.22","0.62","27.5","190","86","41","-6666","-6666","-6666","8","6","3","1","0","-6666","-6666","-6666","13","-5555","-5555","0","1.15","0.0","1.15","0.0"
"USW00003951","01-11","0.07","0.22","0.62","27.5","190","86","41","-6666","-6666","-6666","8","6","3","1","0","-6666","-6666","-6666","13","-5555","-5555","0","1.26","0.0","1.26","0.0"
"USW00003951","01-12","0.07","0.23","0.62","27.5","190","86","41","-6666","-6666","-6666","8","6","3","1","0","-6666","-6666","-6666","13","-5555","-5555","0","1.37","0.0","1.37","0.0"
"USW00003951","01-13","0.07","0.23","0.61","27.5","190","86","42","-6666","-6666","-6666","8","6","3","1","0","-6666","-6666","-6666","13","-5555","-5555","0","1.48","0.0","1.48","0.0"
"USW00003951","01-14","0.07","0.23","0.61","27.5","191","86","42","-6666","-6666","-6666","8","6","3","1","0","-6666","-6666","-6666","13","-5555","-5555","0","1.58","0.1","1.58","0.1"
"USW00003951","01-15","0.07","0.23","0.62","27.6","191","87","42","-6666","-6666","-6666","8","6","3","1","0","-6666","-6666","-6666","13","-5555","-5555","0","1.70","0.1","1.70","0.1"
"USW00003951","01-16","0.07","0.24","0.62","27.7","192","87","43","-6666","-6666","-6666","8","6","3","1","0","-6666","-6666","-6666","13","-5555","-5555","0","1.81","0.1","1.81","0.1"
"USW00003951","01-17","0.07","0.24","0.62","27.8","193","88","43","-6666","-6666","-6666","8","6","3","1","0","-6666","-6666","-6666","13","-5555","-5555","0","1.92","0.1","1.92","0.1"
"USW00003951","01-18","0.07","0.24","0.62","27.8","194","88","43","-6666","-6666","-6666","8","6","3","1","0","-6666","-6666","-6666","14","-5555","-5555","0","2.04","0.1","2.04","0.1"
"USW00003951","01-19","0.07","0.24","0.62","27.8","194","89","43","-6666","-6666","-6666","8","6","3","1","0","-6666","-6666","-6666","14","-5555","-5555","0","2.16","0.1","2.16","0.1"
"USW00003951","01-20","0.07","0.24","0.62","27.8","194","89","43","-6666","-6666","-6666","8","6","3","1","0","-6666","-6666","-6666","14","-5555","-5555","0","2.28","0.1","2.28","0.1"
"USW00003951","01-21","0.07","0.24","0.62","27.8","194","89","42","-6666","-6666","-6666","8","6","2","1","0","-6666","-6666","-6666","14","-5555","-5555","0","2.40","0.1","2.40","0.1"
"USW00003951","01-22","0.07","0.24","0.62","27.9","194","89","42","-6666","-6666","-6666","8","6","2","1","0","-6666","-6666","-6666","14","-5555","-5555","0","2.53","0.1","2.53","0.1"
"USW00003951","01-23","0.07","0.24","0.62","27.9","194","89","42","-6666","-6666","-6666","9","6","2","1","0","-6666","-6666","-6666","14","-5555","-5555","0","2.65","0.1","2.65","0.1"
"USW00003951","01-24","0.08","0.24","0.63","27.9","195","90","42","-6666","-6666","-6666","9","6","2","1","0","-6666","-6666","-6666","14","-5555","-5555","0","2.77","0.1","2.77","0.1"
"USW00003951","01-25","0.08","0.24","0.63","27.9","195","90","43","-6666","-6666","-6666","9","6","2","1","0","-6666","-6666","-6666","14","-5555","-5555","0","2.89","0.1","2.89","0.1"
"USW00003951","01-26","0.08","0.25","0.64","27.9","196","91","43","-6666","-6666","-6666","9","6","2","1","0","-6666","-6666","-6666","15","-5555","-5555","0","3.02","0.1","3.02","0.1"
"USW00003951","01-27","0.08","0.25","0.64","27.9","196","92","44","-6666","-6666","-6666","8","6","2","1","0","-6666","-6666","-6666","15","-5555","-5555","0","3.15","0.2","3.15","0.2"
"USW00003951","01-28","0.08","0.25","0.65","27.9","197","93","44","-6666","-6666","-6666","8","6","2","1","0","-6666","-6666","-6666","15","-5555","-5555","0","3.28","0.2","3.28","0.2"
"USW00003951","01-29","0.08","0.25","0.66","28.0","198","94","45","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","15","-5555","-5555","0","3.41","0.2","3.41","0.2"
"USW00003951","01-30","0.08","0.25","0.66","28.0","199","94","45","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","15","-5555","-5555","0","3.54","0.2","3.54","0.2"
"USW00003951","01-31","0.08","0.25","0.66","28.1","200","95","45","-6666","-6666","-6666","8","5","2","0","0","-6666","-6666","-6666","15","-5555","-5555","0","3.67","0.2","3.67","0.2"
"USC00411500","01-01","0.07","0.25","0.66","28.8","205","89","48","-6666","-6666","-6666","6","2","2","1","0","-6666","-6666","-6666","4","2","0","0","0.14","0.0","0.14","0.0"
"USC00411500","01-02","0.07","0.25","0.65","28.7","204","88","48","-6666","-6666","-6666","6","2","2","1","0","-6666","-6666","-6666","4","2","0","0","0.27","0.0","0.27","0.0"
"USC00411500","01-03","0.07","0.25","0.65","28.6","204","87","47","-6666","-6666","-6666","6","2","2","1","0","-6666","-6666","-6666","4","2","0","0","0.41","0.0","0.41","0.0"
"USC00411500","01-04","0.07","0.25","0.65","28.5","203","87","47","-6666","-6666","-6666","6","2","2","1","0","-6666","-6666","-6666","4","3","0","0","0.56","0.0","0.56","0.0"
"USC00411500","01-05","0.07","0.25","0.64","28.4","203","87","47","-6666","-6666","-6666","6","2","2","1","0","-6666","-6666","-6666","4","3","0","0","0.71","0.0","0.71","0.0"
"USC00411500","01-06","0.07","0.25","0.64","28.4","203","86","46","-6666","-6666","-6666","6","2","2","1","0","-6666","-6666","-6666","4","3","0","0","0.86","0.0","0.86","0.0"
